nagrajenec,država
William C. Campbell,Ireland
Ōmura Satoshi,Japan
Tu Youyou,China
Jean-Pierre Sauvage,France
J. Fraser Stoddart,United Kingdom
Bernard Feringa,Netherlands
Oliver Hart,United Kingdom
Bengt Holmström,Finland
Bob Dylan,United States
Juan Manuel Santos,Colombia
David Thouless,United Kingdom
Duncan Haldane,United Kingdom
Michael Kosterlitz,United Kingdom
Yoshinori Ohsumi,Japan
Jacques Dubochet,Switzerland
Joachim Frank,Germany
Richard Henderson,United Kingdom
Richard H. Thaler,United States
Kazuo Ishiguro,United Kingdom
International Campaign to Abolish Nuclear Weapons,(founded 2007)
Barry C. Barish,United States
Kip S. Thorne,United States
Rainer Weiss,United States
Jeffrey C. Hall,United States
Michael Rosbash,United States
Michael W. Young,United States
Frances Arnold,United States
George P. Smith,United States
Gregory P. Winter,United Kingdom
William Nordhaus,United States
Paul Romer,United States
Olga Tokarczuk,Poland
Denis Mukwege,Democratic Republic of the Congo
Nadia Murad,Iraq
Arthur Ashkin,United States
Gérard Mourou,France
Donna Strickland,Canada
James P. Allison,United States
Tasuku Honjo,Japan
John B. Goodenough,United States
M. Stanley Whittingham,United Kingdom
Yoshino Akira,Japan
Abhijit Banerjee,United States
Esther Duflo,France
Michael Kremer,United States
Peter Handke,Austria
Abiy Ahmed,Ethiopia
James Peebles,Canada
Michel Mayor,Switzerland
Didier Queloz,Switzerland
"William G. Kaelin, Jr.",United States
Peter J. Ratcliffe,United Kingdom
Gregg L. Semenza,United States
Emmanuelle Charpentier,France
Jennifer Doudna,United States
Paul R. Milgrom,United States
Robert B. Wilson,United States
Louise Glück,United States
World Food Programme,(founded 1961)
Reinhard Genzel,Germany
Andrea Ghez,United States
